TOTAL_INSTANCES 500

INSTANCE TD_UNIQUE_C_100_001
LAYOUT C
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
62 65 72 74 83 84 84 85 85 87 87 91 91 91 91 94 95 96 97 100 100 103 105 106 106 107 111 111
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.14
300      600      0.49
600      1000     1.47
1000     2000     0.98
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        10      30      24      125         207       14
2        87      21      24      437         514       15
3        44      75      21      355         443       12
4        22      7       16      35          105       20
5        77      20      20      393         482       18
6        55      73      11      520         627       12
7        17      17      23      253         342       12
8        76      25      12      244         330       11
9        59      82      23      471         559       12
10       21      19      18      204         302       13
11       83      30      14      325         411       11
12       55      93      22      567         669       14
13       3       6       11      187         256       13
14       88      17      21      223         290       16
15       53      73      18      413         522       17
16       16      17      13      49          119       15
17       71      11      10      226         286       20
18       46      79      12      625         688       12
19       17      9       16      270         341       13
20       78      11      10      368         457       10
21       40      73      18      497         591       16
22       24      26      20      44          105       15
23       87      18      22      389         474       16
24       40      91      20      364         448       18
25       16      31      20      5           71        10
26       76      23      23      354         421       18
27       46      86      18      482         564       12
28       19      18      15      47          127       17
29       83      25      24      353         453       18
30       53      77      12      553         622       19
31       11      17      18      294         356       16
32       69      25      14      421         496       11
33       50      82      10      435         544       15
34       17      16      24      72          176       10
35       87      13      10      350         449       11
36       61      86      23      501         573       10
37       9       25      10      213         303       12
38       82      18      14      405         482       13
39       50      84      19      619         680       13
40       23      8       18      171         242       11
41       77      12      25      322         427       17
42       56      83      14      553         649       16
43       17      5       17      286         351       17
44       77      23      12      274         373       13
45       40      90      19      478         588       14
46       12      22      14      248         350       11
47       88      15      19      322         416       18
48       57      87      23      419         480       17
49       22      5       25      216         304       13
50       79      29      24      228         298       12
51       64      84      10      382         474       13
52       15      23      22      105         190       17
53       78      2       22      275         362       17
54       50      81      23      383         478       11
55       12      17      22      32          123       16
56       75      23      15      207         281       18
57       55      84      24      438         548       13
58       24      27      25      52          160       18
59       87      5       21      406         468       12
60       57      80      24      638         729       11
61       18      34      21      16          111       13
62       82      15      11      231         299       12
63       38      77      10      523         593       16
64       26      17      25      241         312       20
65       81      18      11      236         301       18
66       47      76      20      421         494       15
67       23      13      24      190         258       14
68       81      19      25      261         331       20
69       47      87      21      353         462       20
70       16      14      11      22          119       14
71       77      19      11      368         454       18
72       50      70      19      560         652       16
73       14      16      20      242         333       20
74       69      25      14      371         450       19
75       50      81      18      483         553       20
76       15      21      12      285         383       16
77       84      23      17      358         457       12
78       51      95      13      627         703       19
79       13      23      14      8           105       14
80       79      34      16      333         415       12
81       48      87      16      530         623       15
82       11      10      25      108         206       12
83       81      13      25      208         271       10
84       40      85      17      367         460       17
85       13      28      20      107         198       11
86       84      8       25      428         516       10
87       46      76      21      463         534       10
88       20      22      10      52          117       15
89       66      4       15      276         381       17
90       49      82      24      608         674       18
91       13      18      10      139         229       10
92       88      19      15      364         428       10
93       54      78      16      510         616       12
94       25      22      12      252         318       20
95       81      24      24      204         291       17
96       58      82      19      616         725       16
97       10      13      23      27          127       19
98       73      30      22      413         506       13
99       56      85      10      359         442       17
100      16      20      11      245         320       17

INSTANCE TD_UNIQUE_C_100_002
LAYOUT C
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
53 61 62 70 71 74 78 79 87 92 93 94 95 95 95 97 97 98 99 101 102 102 103 105 105 105 105 106
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.11
300      600      0.68
600      1000     1.28
1000     2000     0.98
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        14      3       19      43          123       11
2        79      22      10      296         372       13
3        40      78      17      523         591       15
4        7       15      21      254         344       16
5        85      20      16      266         368       16
6        46      83      10      518         595       13
7        7       9       14      135         214       19
8        78      29      10      294         357       17
9        61      87      23      537         606       20
10       15      7       17      92          162       19
11       65      32      14      321         399       18
12       55      77      23      509         587       10
13       4       12      15      123         216       20
14       84      16      17      459         529       15
15       50      83      23      498         559       14
16       30      16      19      87          153       14
17       81      11      10      307         378       18
18       53      75      22      431         537       18
19       15      8       15      28          104       16
20       87      20      21      343         439       20
21       52      87      18      475         561       10
22       25      19      14      258         338       17
23       70      29      13      301         403       14
24       44      89      24      639         748       12
25       20      15      11      83          150       19
26       88      33      25      437         503       16
27       48      79      18      533         619       11
28       16      14      19      222         294       16
29       82      10      14      414         483       17
30       53      67      20      536         611       12
31       20      13      18      90          187       15
32       86      10      18      359         426       18
33       51      93      24      571         640       17
34       14      17      23      221         313       19
35       88      34      10      215         315       18
36       54      86      19      542         613       10
37       13      19      17      204         280       10
38       86      16      18      231         341       15
39       56      82      13      612         684       18
40       23      13      24      190         277       12
41       82      6       25      285         392       11
42       48      76      23      507         580       18
43       17      14      25      300         382       20
44       85      23      22      327         413       20
45       40      79      12      464         527       11
46       25      12      21      225         305       19
47       78      12      15      443         504       11
48       46      79      11      553         615       14
49       10      24      21      240         310       20
50       75      27      17      211         298       10
51       47      72      25      614         674       11
52       14      9       11      246         339       14
53       79      20      23      369         438       12
54       36      79      24      597         700       20
55       19      1       11      163         268       20
56       78      31      24      222         283       13
57       55      78      21      407         474       13
58       21      26      18      118         196       12
59       79      9       11      439         525       20
60       57      75      12      429         500       20
61       23      8       24      263         327       11
62       77      22      17      441         538       14
63       65      87      20      500         609       12
64       11      18      24      131         225       13
65       95      17      17      351         433       20
66       50      74      18      522         619       18
67       11      14      10      271         364       13
68       82      2       11      212         288       16
69       37      88      14      606         700       14
70       19      24      17      161         234       11
71       83      30      17      486         592       11
72       55      83      19      646         727       19
73       20      21      16      61          149       11
74       82      9       18      471         569       16
75       47      82      13      478         568       15
76       16      14      12      10          85        15
77       74      27      21      266         340       17
78       46      86      21      473         558       17
79       18      15      21      276         349       11
80       78      20      20      311         397       20
81       58      93      12      475         564       15
82       13      16      14      175         254       12
83       84      27      19      213         288       20
84       61      77      16      359         454       16
85       29      17      21      146         253       14
86       87      9       10      286         377       20
87       48      77      10      562         658       19
88       19      10      11      271         378       15
89       93      20      22      234         332       16
90       51      81      15      588         683       20
91       24      23      10      254         356       11
92       87      18      18      444         516       14
93       54      85      11      459         566       15
94       21      20      16      243         347       18
95       86      14      11      440         511       18
96       38      86      15      475         560       14
97       19      0       11      200         287       13
98       84      41      10      355         454       15
99       44      80      16      454         555       20
100      18      25      24      202         285       11

INSTANCE TD_UNIQUE_C_25_003
LAYOUT C
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
69 69 73 76 81 90 92 92
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.01
300      600      0.23
600      1000     1.44
1000     2000     0.95
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        12      29      13      266         365       20
2        72      13      22      230         311       17
3        37      76      17      552         612       11
4        21      9       18      199         277       10
5        68      17      13      244         347       18
6        57      77      12      479         541       20
7        23      31      16      155         220       19
8        86      10      22      371         447       18
9        52      87      25      566         672       10
10       25      25      18      9           93        18
11       90      21      20      213         286       12
12       49      82      10      397         498       12
13       15      11      25      61          145       11
14       81      16      25      246         356       14
15       41      77      13      535         605       10
16       11      25      19      216         281       12
17       75      21      11      355         429       20
18       48      97      22      515         575       11
19       21      13      20      16          122       20
20       86      9       10      350         418       19
21       46      85      20      419         524       15
22       30      15      18      296         404       10
23       91      14      14      247         319       13
24       46      79      25      615         692       18
25       25      10      14      295         382       18

INSTANCE TD_UNIQUE_C_50_004
LAYOUT C
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
55 58 60 69 70 74 82 82 85 86 89 93 94 97 100
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.28
300      600      0.57
600      1000     1.3
1000     2000     1.04
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        9       8       13      293         383       20
2        75      11      23      225         309       20
3        61      73      14      376         449       15
4        18      20      17      106         213       12
5        80      28      13      220         328       17
6        47      78      24      446         545       13
7        21      32      10      159         226       18
8        81      18      10      335         411       16
9        41      80      12      359         449       10
10       23      17      12      250         346       19
11       86      24      13      274         351       18
12       60      91      17      470         564       11
13       16      21      16      277         364       17
14       80      31      20      389         483       13
15       45      75      11      618         707       15
16       13      16      19      15          78        16
17       83      18      15      399         491       16
18       51      79      25      609         709       12
19       25      16      22      53          162       10
20       85      12      25      419         488       16
21       56      82      25      541         630       12
22       31      16      11      170         262       16
23       87      14      22      266         370       10
24       44      78      17      562         658       13
25       24      8       19      153         252       10
26       72      24      21      255         356       18
27       44      73      11      635         695       20
28       23      25      15      119         211       18
29       80      23      21      398         496       10
30       53      70      15      409         477       15
31       20      3       24      34          117       17
32       85      9       23      341         446       20
33       38      88      18      554         627       12
34       26      10      24      212         307       20
35       71      25      12      260         354       17
36       56      81      25      450         532       11
37       23      6       23      187         270       18
38       69      22      15      420         501       16
39       47      88      19      392         466       15
40       27      30      22      119         224       18
41       74      23      22      216         289       15
42       49      73      12      637         714       20
43       15      31      21      198         261       13
44       80      23      13      432         499       15
45       55      78      11      493         554       12
46       8       24      11      4           73        13
47       89      28      16      356         436       16
48       50      92      15      552         615       13
49       15      20      21      190         256       12
50       89      19      20      209         307       16

INSTANCE TD_UNIQUE_R_100_005
LAYOUT R
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
60 63 65 74 77 79 81 81 86 87 89 93 93 94 98 99 101 101 105 105 108 109 109 110 110 110 111 111
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.26
300      600      0.44
600      1000     1.28
1000     2000     0.98
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        40      85      19      420         496       20
2        4       12      16      503         568       14
3        81      36      19      356         444       11
4        65      62      24      271         365       20
5        100     61      23      531         624       18
6        36      83      17      436         531       11
7        41      30      25      276         359       17
8        3       86      20      540         648       10
9        37      40      10      155         254       10
10       26      48      14      351         425       20
11       42      71      11      189         281       18
12       28      5       13      542         612       20
13       60      65      15      225         300       17
14       87      37      10      350         415       12
15       35      7       25      484         589       14
16       51      98      11      424         514       17
17       20      22      14      408         497       15
18       94      6       24      626         708       10
19       98      47      18      446         531       15
20       35      65      15      182         262       13
21       55      40      24      205         284       17
22       44      66      24      161         241       20
23       55      30      18      241         335       18
24       98      91      25      672         762       17
25       25      11      15      489         588       14
26       63      81      19      426         525       15
27       59      39      20      191         301       15
28       41      37      11      201         281       14
29       71      80      15      454         563       15
30       85      100     19      552         624       11
31       10      28      13      430         517       18
32       39      20      25      344         420       14
33       89      95      22      564         652       17
34       29      16      22      387         476       13
35       31      87      24      451         535       11
36       93      97      12      671         777       12
37       98      93      17      662         754       15
38       100     97      19      593         663       13
39       88      81      20      484         591       15
40       3       66      14      547         624       17
41       96      61      10      410         477       17
42       86      66      11      471         557       16
43       13      71      14      384         447       10
44       49      95      11      402         484       13
45       16      28      25      432         505       12
46       91      61      21      493         585       14
47       74      89      15      405         497       15
48       92      6       12      554         658       14
49       86      37      25      417         506       20
50       26      81      13      385         471       17
51       16      66      14      402         468       20
52       30      23      23      375         481       18
53       57      27      22      282         349       15
54       81      62      25      349         432       18
55       27      6       14      543         611       17
56       62      20      19      397         490       17
57       45      64      18      200         302       13
58       79      42      14      358         440       11
59       89      9       23      517         589       14
60       40      7       23      416         485       20
61       55      51      20      164         256       14
62       5       32      15      471         579       11
63       10      16      15      518         587       19
64       38      84      21      396         468       15
65       65      52      19      248         343       12
66       79      23      14      382         481       10
67       10      84      10      489         563       15
68       86      92      12      554         620       14
69       10      61      19      439         508       13
70       1       25      17      484         580       11
71       84      73      19      419         513       10
72       50      80      21      386         479       10
73       90      52      11      341         440       20
74       58      75      11      268         351       20
75       10      100     21      621         697       17
76       13      68      25      460         554       10
77       25      63      18      335         399       16
78       67      44      24      246         352       17
79       81      11      13      478         538       14
80       2       37      12      561         637       20
81       0       91      13      570         651       20
82       28      25      16      397         503       15
83       79      43      14      291         397       16
84       11      71      22      499         573       17
85       92      14      17      573         667       16
86       73      50      23      198         272       19
87       57      38      19      203         306       14
88       91      75      12      427         507       15
89       16      12      20      427         498       14
90       89      74      19      416         490       15
91       97      97      25      558         621       16
92       53      23      20      330         404       19
93       43      62      23      163         268       15
94       32      35      14      319         393       17
95       64      47      22      150         259       17
96       96      100     23      655         732       18
97       49      39      15      118         200       19
98       44      23      19      365         446       20
99       95      22      18      457         523       11
100      37      83      22      329         400       13

INSTANCE TD_UNIQUE_RC_100_006
LAYOUT RC
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
