Instance,Intervals,N,Dem_Cap_Ratio,MILP_Time,MILP_Veh,Status
TD_MALANDRAKI_N10_INT2_REP1,2,10,0.8750,710.96,4,FEAS
TD_MALANDRAKI_N10_INT2_REP2,2,10,1.2308,N/A,N/A,FAIL
TD_MALANDRAKI_N10_INT2_REP3,2,10,0.9040,N/A,N/A,FAIL
TD_MALANDRAKI_N10_INT2_REP4,2,10,0.7009,650.49,3,FEAS
TD_MALANDRAKI_N10_INT3_REP1,3,10,0.6701,599.85,2,FEAS
TD_MALANDRAKI_N10_INT3_REP2,3,10,0.9227,693.56,2,OPT
TD_MALANDRAKI_N10_INT3_REP3,3,10,0.9862,N/A,N/A,FAIL
TD_MALANDRAKI_N10_INT3_REP4,3,10,1.0749,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT2_REP1,2,15,1.3133,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT2_REP2,2,15,0.9396,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT2_REP3,2,15,0.6912,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT2_REP4,2,15,0.7760,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT3_REP1,3,15,0.8138,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT3_REP2,3,15,0.6614,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT3_REP3,3,15,1.3067,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT3_REP4,3,15,0.8934,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT2_REP1,2,20,0.9063,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT2_REP2,2,20,0.8197,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT2_REP3,2,20,0.7877,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT2_REP4,2,20,0.8064,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT3_REP1,3,20,0.8191,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT3_REP2,3,20,0.8555,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT3_REP3,3,20,0.9951,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT3_REP4,3,20,0.7604,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT2_REP1,2,25,0.9805,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT2_REP2,2,25,0.7662,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT2_REP3,2,25,0.9099,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT2_REP4,2,25,0.9685,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT3_REP1,3,25,1.0781,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT3_REP2,3,25,0.8867,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT3_REP3,3,25,0.7578,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT3_REP4,3,25,0.8844,N/A,N/A,FAIL
