Instance,Intervals,N,Dem_Cap_Ratio,MILP_Time,MILP_Veh,Status
TD_MALANDRAKI_N10_INT2_REP1,2,10,0.8750,689.34,4,FEAS
TD_MALANDRAKI_N10_INT2_REP2,2,10,1.2308,N/A,N/A,FAIL
TD_MALANDRAKI_N10_INT2_REP3,2,10,0.9040,1558.52,5,FEAS
TD_MALANDRAKI_N10_INT2_REP4,2,10,0.7009,794.22,3,FEAS
TD_MALANDRAKI_N10_INT3_REP1,3,10,0.6701,581.75,2,FEAS
TD_MALANDRAKI_N10_INT3_REP2,3,10,0.9227,693.56,2,OPT
TD_MALANDRAKI_N10_INT3_REP3,3,10,0.9862,807.75,3,FEAS
TD_MALANDRAKI_N10_INT3_REP4,3,10,1.0749,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT2_REP1,2,15,1.3133,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT2_REP2,2,15,0.9396,1041.78,2,FEAS
TD_MALANDRAKI_N15_INT2_REP3,2,15,0.6912,890.11,4,FEAS
TD_MALANDRAKI_N15_INT2_REP4,2,15,0.7760,1323.75,7,FEAS
TD_MALANDRAKI_N15_INT3_REP1,3,15,0.8138,1149.14,4,FEAS
TD_MALANDRAKI_N15_INT3_REP2,3,15,0.6614,887.70,3,FEAS
TD_MALANDRAKI_N15_INT3_REP3,3,15,1.3067,N/A,N/A,FAIL
TD_MALANDRAKI_N15_INT3_REP4,3,15,0.8934,1147.72,4,FEAS
TD_MALANDRAKI_N20_INT2_REP1,2,20,0.9063,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT2_REP2,2,20,0.8197,1057.59,3,FEAS
TD_MALANDRAKI_N20_INT2_REP3,2,20,0.7877,1638.92,6,FEAS
TD_MALANDRAKI_N20_INT2_REP4,2,20,0.8064,1279.14,3,FEAS
TD_MALANDRAKI_N20_INT3_REP1,3,20,0.8191,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT3_REP2,3,20,0.8555,2085.33,5,FEAS
TD_MALANDRAKI_N20_INT3_REP3,3,20,0.9951,N/A,N/A,FAIL
TD_MALANDRAKI_N20_INT3_REP4,3,20,0.7604,2251.88,6,FEAS
TD_MALANDRAKI_N25_INT2_REP1,2,25,0.9805,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT2_REP2,2,25,0.7662,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT2_REP3,2,25,0.9099,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT2_REP4,2,25,0.9685,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT3_REP1,3,25,1.0781,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT3_REP2,3,25,0.8867,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT3_REP3,3,25,0.7578,N/A,N/A,FAIL
TD_MALANDRAKI_N25_INT3_REP4,3,25,0.8844,N/A,N/A,FAIL
